"","ASV_code","Sample","Count","Relative_Abundance"
"125","ASV21","SCF055-4",0,0
"126","ASV21","SCF055-5",0,0
"127","ASV22","SCF049-1",0,0
"128","ASV22","SCF049-2",7242,0.0231416684241808
"129","ASV22","SCF049-3",0,0
"130","ASV22","SCF055-1",0,0
"131","ASV22","SCF055-4",0,0
"132","ASV22","SCF055-5",0,0
"133","ASV23","SCF049-1",0,0
"134","ASV23","SCF049-2",0,0
"135","ASV23","SCF049-3",0,0
"136","ASV23","SCF055-1",2166,0.00918769883351007
"137","ASV23","SCF055-4",1594,0.00243176489074602
"138","ASV23","SCF055-5",3417,0.0081208454044856
"139","ASV24","SCF049-1",6843,0.00726899972912539
"140","ASV24","SCF049-2",0,0
"141","ASV24","SCF049-3",0,0
"142","ASV24","SCF055-1",0,0
"143","ASV24","SCF055-4",0,0
"144","ASV24","SCF055-5",0,0
"145","ASV25","SCF049-1",6507,0.00691208260082112
"146","ASV25","SCF049-2",0,0
"147","ASV25","SCF049-3",0,0
"148","ASV25","SCF055-1",0,0
"149","ASV25","SCF055-4",0,0
"150","ASV25","SCF055-5",0,0
"151","ASV26","SCF049-1",5652,0.00600385597968972
"152","ASV26","SCF049-2",0,0
"153","ASV26","SCF049-3",0,0
"154","ASV26","SCF055-1",0,0
"155","ASV26","SCF055-4",0,0
"156","ASV26","SCF055-5",0,0
"157","ASV27","SCF049-1",5348,0.00568093095884299
"158","ASV27","SCF049-2",0,0
"159","ASV27","SCF049-3",0,0
"160","ASV27","SCF055-1",0,0
"161","ASV27","SCF055-4",0,0
"162","ASV27","SCF055-5",0,0
"163","ASV28","SCF049-1",0,0
"164","ASV28","SCF049-2",0,0
"165","ASV28","SCF049-3",0,0
"166","ASV28","SCF055-1",1759,0.00746129374337222
"167","ASV28","SCF055-4",1124,0.00171474512998653
"168","ASV28","SCF055-5",2155,0.0051215750209735
"169","ASV29","SCF049-1",2149,0.00228278246644607
"170","ASV29","SCF049-2",1119,0.00357574246985064
"171","ASV29","SCF049-3",1127,0.00237307621849146
"172","ASV29","SCF055-1",0,0
"173","ASV29","SCF055-4",0,0
"174","ASV29","SCF055-5",0,0
"175","ASV30","SCF049-1",3640,0.00386660222329628
"176","ASV30","SCF049-2",0,0
"177","ASV30","SCF049-3",0,0
"178","ASV30","SCF055-1",0,0
"179","ASV30","SCF055-4",0,0
"180","ASV30","SCF055-5",0,0
"181","ASV31","SCF049-1",0,0
"182","ASV31","SCF049-2",0,0
"183","ASV31","SCF049-3",0,0
"184","ASV31","SCF055-1",0,0
"185","ASV31","SCF055-4",2795,0.00426397921558038
"186","ASV31","SCF055-5",0,0
"187","ASV32","SCF049-1",0,0
"188","ASV32","SCF049-2",0,0
"189","ASV32","SCF049-3",0,0
"190","ASV32","SCF055-1",0,0
"191","ASV32","SCF055-4",2646,0.00403666869568003
"192","ASV32","SCF055-5",0,0
"193","ASV33","SCF049-1",2576,0.00273636465033275
"194","ASV33","SCF049-2",0,0
"195","ASV33","SCF049-3",0,0
"196","ASV33","SCF055-1",0,0
"197","ASV33","SCF055-4",0,0
"198","ASV33","SCF055-5",0,0
"199","ASV34","SCF049-1",2464,0.00261739227423133
"200","ASV34","SCF049-2",0,0
"201","ASV34","SCF049-3",0,0
"202","ASV34","SCF055-1",0,0
"203","ASV34","SCF055-4",0,0
"204","ASV34","SCF055-5",0,0
"205","ASV35","SCF049-1",0,0
"206","ASV35","SCF049-2",0,0
"207","ASV35","SCF049-3",0,0
"208","ASV35","SCF055-1",0,0
"209","ASV35","SCF055-4",2270,0.00346305288707244
"210","ASV35","SCF055-5",0,0
"211","ASV36","SCF049-1",993,0.00105481758454209
"212","ASV36","SCF049-2",378,0.00120789155818011
"213","ASV36","SCF049-3",633,0.00133288131881553
"214","ASV36","SCF055-1",0,0
"215","ASV36","SCF055-4",0,0
"216","ASV36","SCF055-5",0,0
"217","ASV37","SCF049-1",0,0
"218","ASV37","SCF049-2",0,0
"219","ASV37","SCF049-3",0,0
"220","ASV37","SCF055-1",0,0
"221","ASV37","SCF055-4",655,0.0009992509431861
"222","ASV37","SCF055-5",1322,0.0031418664397805
"223","ASV38","SCF049-1",0,0
"224","ASV38","SCF049-2",0,0
"225","ASV38","SCF049-3",0,0
"226","ASV38","SCF055-1",1905,0.00808059384941675
"227","ASV38","SCF055-4",0,0
"228","ASV38","SCF055-5",0,0
"229","ASV39","SCF049-1",0,0
"230","ASV39","SCF049-2",0,0
"231","ASV39","SCF049-3",0,0
"232","ASV39","SCF055-1",1901,0.00806362672322375
"233","ASV39","SCF055-4",0,0
"234","ASV39","SCF055-5",0,0
"235","ASV40","SCF049-1",1887,0.00200447208663738
"236","ASV40","SCF049-2",0,0
"237","ASV40","SCF049-3",0,0
"238","ASV40","SCF055-1",0,0
"239","ASV40","SCF055-4",0,0
"240","ASV40","SCF055-5",0,0
"241","ASV41","SCF049-1",0,0
"242","ASV41","SCF049-2",0,0
"243","ASV41","SCF049-3",1674,0.00352487097582494
"244","ASV41","SCF055-1",0,0
"245","ASV41","SCF055-4",0,0
"246","ASV41","SCF055-5",0,0
"247","ASV42","SCF049-1",0,0
"248","ASV42","SCF049-2",0,0
"249","ASV42","SCF049-3",1668,0.00351223702967503
"250","ASV42","SCF055-1",0,0
"251","ASV42","SCF055-4",0,0
"252","ASV42","SCF055-5",0,0
"253","ASV43","SCF049-1",967,0.00102719899723283
"254","ASV43","SCF049-2",0,0
"255","ASV43","SCF049-3",628,0.00132235303035727
"256","ASV43","SCF055-1",0,0
"257","ASV43","SCF055-4",0,0
"258","ASV43","SCF055-5",0,0
"259","ASV44","SCF049-1",0,0
"260","ASV44","SCF049-2",0,0
"261","ASV44","SCF049-3",0,0
"262","ASV44","SCF055-1",1552,0.00658324496288441
"263","ASV44","SCF055-4",0,0
"264","ASV44","SCF055-5",0,0
"265","ASV45","SCF049-1",0,0
"266","ASV45","SCF049-2",0,0
"267","ASV45","SCF049-3",0,0
"268","ASV45","SCF055-1",1538,0.00652386002120891
"269","ASV45","SCF055-4",0,0
"270","ASV45","SCF055-5",0,0
"271","ASV46","SCF049-1",0,0
"272","ASV46","SCF049-2",1508,0.00481878431146986
"273","ASV46","SCF049-3",0,0
"274","ASV46","SCF055-1",0,0
"275","ASV46","SCF055-4",0,0
"276","ASV46","SCF055-5",0,0
"277","ASV47","SCF049-1",0,0
"278","ASV47","SCF049-2",0,0
"279","ASV47","SCF049-3",1494,0.00314585259132764
"280","ASV47","SCF055-1",0,0
"281","ASV47","SCF055-4",0,0
"282","ASV47","SCF055-5",0,0
